"mbeanName","attributeName","attributeType","compositeAttributeName"
"java.lang:type=Compilation","CompilationTimeMonitoringSupported","boolean"
"java.lang:type=Compilation","TotalCompilationTime","long"
"java.lang:type=Compilation","ObjectName","javax.management.ObjectName"
"java.lang:name=CodeCacheManager,type=MemoryManager","Name","java.lang.String"
"java.lang:name=CodeCacheManager,type=MemoryManager","Valid","boolean"
"java.lang:name=CodeCacheManager,type=MemoryManager","MemoryPoolNames","[Ljava.lang.String;"
"java.lang:name=CodeCacheManager,type=MemoryManager","ObjectName","javax.management.ObjectName"
"java.lang:name=Compressed Class Space,type=MemoryPool","Name","java.lang.String"
"java.lang:name=Compressed Class Space,type=MemoryPool","Type","java.lang.String"
"java.lang:name=Compressed Class Space,type=MemoryPool","Valid","boolean"
"java.lang:name=Compressed Class Space,type=MemoryPool","CollectionUsageThreshold","long"
"java.lang:name=Compressed Class Space,type=MemoryPool","CollectionUsageThresholdCount","long"
"java.lang:name=Compressed Class Space,type=MemoryPool","MemoryManagerNames","[Ljava.lang.String;"
"java.lang:name=Compressed Class Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=Compressed Class Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=Compressed Class Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=Compressed Class Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=Compressed Class Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=Compressed Class Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","init"
"java.lang:name=Compressed Class Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","max"
"java.lang:name=Compressed Class Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","used"
"java.lang:name=Compressed Class Space,type=MemoryPool","UsageThreshold","long"
"java.lang:name=Compressed Class Space,type=MemoryPool","UsageThresholdCount","long"
"java.lang:name=Compressed Class Space,type=MemoryPool","CollectionUsageThresholdExceeded","boolean"
"java.lang:name=Compressed Class Space,type=MemoryPool","CollectionUsageThresholdSupported","boolean"
"java.lang:name=Compressed Class Space,type=MemoryPool","UsageThresholdExceeded","boolean"
"java.lang:name=Compressed Class Space,type=MemoryPool","UsageThresholdSupported","boolean"
"java.lang:name=Compressed Class Space,type=MemoryPool","ObjectName","javax.management.ObjectName"
"java.lang:type=Memory","HeapMemoryUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:type=Memory","HeapMemoryUsage","javax.management.openmbean.CompositeData","init"
"java.lang:type=Memory","HeapMemoryUsage","javax.management.openmbean.CompositeData","max"
"java.lang:type=Memory","HeapMemoryUsage","javax.management.openmbean.CompositeData","used"
"java.lang:type=Memory","NonHeapMemoryUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:type=Memory","NonHeapMemoryUsage","javax.management.openmbean.CompositeData","init"
"java.lang:type=Memory","NonHeapMemoryUsage","javax.management.openmbean.CompositeData","max"
"java.lang:type=Memory","NonHeapMemoryUsage","javax.management.openmbean.CompositeData","used"
"java.lang:type=Memory","ObjectPendingFinalizationCount","int"
"java.lang:type=Memory","Verbose","boolean"
"java.lang:type=Memory","ObjectName","javax.management.ObjectName"
"java.nio:name=mapped,type=BufferPool","Name","java.lang.String"
"java.nio:name=mapped,type=BufferPool","Count","long"
"java.nio:name=mapped,type=BufferPool","MemoryUsed","long"
"java.nio:name=mapped,type=BufferPool","TotalCapacity","long"
"java.nio:name=mapped,type=BufferPool","ObjectName","javax.management.ObjectName"
"java.util.logging:type=Logging","ObjectName","javax.management.ObjectName"
"java.util.logging:type=Logging","LoggerNames","[Ljava.lang.String;"
"java.lang:name=PS Survivor Space,type=MemoryPool","Name","java.lang.String"
"java.lang:name=PS Survivor Space,type=MemoryPool","Type","java.lang.String"
"java.lang:name=PS Survivor Space,type=MemoryPool","Valid","boolean"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","used"
